Rank,player,club,nationality,position,shots,shotsOnTarget,shotsOnTargetPercent
3,Shane Duffy,Brighton and Hove Albion,Ireland,DEF,37,16,43
9,Lewis Dunk,Brighton and Hove Albion,England,DEF,20,4,20
14,Bernardo,Brighton and Hove Albion,Brazil,DEF,8,3,38
14,Martín Montoya,Brighton and Hove Albion,Spain,DEF,8,1,13
17,Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,2,0,0
17,Bruno,Brighton and Hove Albion,Spain,DEF,2,0,0
19,Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,1,1,100
5,James Tarkowski,Burnley,England,DEF,22,10,45
8,Ben Mee,Burnley,England,DEF,21,4,19
11,Phil Bardsley,Burnley,Scotland,DEF,12,1,8
13,Charlie Taylor,Burnley,England,DEF,6,0,0
16,Matthew Lowton,Burnley,England,DEF,4,1,25
18,Ben Gibson,Burnley,England,DEF,1,1,100
18,Kevin Long,Burnley,Ireland,DEF,1,0,0
18,Stephen Ward,Burnley,Ireland,DEF,1,1,100
1,Callum Paterson,Cardiff City,Scotland,DEF,41,8,20
2,Sean Morrison,Cardiff City,England,DEF,34,10,29
3,Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,22,7,32
4,Joe Bennett,Cardiff City,England,DEF,10,3,30
4,Bruno Ecuele Manga,Cardiff City,Gabon,DEF,10,4,40
6,Greg Cunningham,Cardiff City,Ireland,DEF,2,1,50
7,Lee Peltier,Cardiff City,England,DEF,1,1,100
1,Marcos Alonso,Chelsea,Spain,DEF,45,7,16
2,David Luiz,Chelsea,Brazil,DEF,34,8,24
3,Antonio Rüdiger,Chelsea,Germany,DEF,27,6,22
4,César Azpilicueta,Chelsea,Spain,DEF,17,7,41
5,Emerson,Chelsea,Italy,DEF,5,1,20
6,Davide Zappacosta,Chelsea,Italy,DEF,2,1,50
1,Patrick van Aanholt,Crystal Palace,Netherlands,DEF,45,11,24
2,Jeffrey Schlupp,Crystal Palace,Ghana,DEF,28,8,29
3,James Tomkins,Crystal Palace,England,DEF,22,7,32
4,Scott Dann,Crystal Palace,England,DEF,6,1,17
5,Mamadou Sakho,Crystal Palace,France,DEF,4,1,25
6,Martin Kelly,Crystal Palace,England,DEF,3,1,33
7,Joel Ward,Crystal Palace,England,DEF,2,1,50
1,Lucas Digne,Everton,France,DEF,34,10,29
2,Michael Keane,Everton,England,DEF,31,9,29
3,Kurt Zouma,Everton,France,DEF,19,3,16
4,Seamus Coleman,Everton,Ireland,DEF,15,7,47
5,Yerry Mina,Everton,Colombia,DEF,4,1,25
6,Jonjoe Kenny,Everton,England,DEF,3,0,0
7,Leighton Baines,Everton,England,DEF,2,1,50
8,Phil Jagielka,Everton,England,DEF,1,1,100
1,Calum Chambers,Fulham,England,DEF,35,11,31
2,Joe Bryan,Fulham,England,DEF,21,7,33
3,Cyrus Christie,Fulham,Ireland,DEF,12,3,25
4,Denis Odoi,Fulham,Belgium,DEF,10,1,10
5,Maxime Le Marchand,Fulham,France,DEF,5,0,0
6,Timothy Fosu-Mensah,Fulham,Netherlands,DEF,4,1,25
7,Alfie Mawson,Fulham,England,DEF,2,1,50
8,Neeskens Kebano,Fulham,The Democratic Republic Of Congo,DEF,1,0,0
8,Tim Ream,Fulham,United States,DEF,1,0,0
1,Chris Löwe,Huddersfield Town,Germany,DEF,18,6,33
2,Terence Kongolo,Huddersfield Town,Netherlands,DEF,14,4,29
3,Christopher Schindler,Huddersfield Town,Germany,DEF,13,3,23
4,Erik Durm,Huddersfield Town,Germany,DEF,9,0,0
4,Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,9,2,22
6,Zanka,Huddersfield Town,Denmark,DEF,8,4,50
7,Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,6,2,33
8,Tommy Smith,Huddersfield Town,England,DEF,3,0,0
1,Harry Maguire,Leicester City,England,DEF,30,13,43
2,Ricardo Pereira,Leicester City,Portugal,DEF,25,9,36
3,Ben Chilwell,Leicester City,England,DEF,22,10,45
4,Wes Morgan,Leicester City,Jamaica,DEF,14,5,36
5,Jonny Evans,Leicester City,Northern Ireland,DEF,11,3,27
6,Christian Fuchs,Leicester City,Austria,DEF,2,0,0
6,Çaglar Söyüncü,Leicester City,Turkey,DEF,2,0,0
1,Virgil van Dijk,Liverpool,Netherlands,DEF,31,8,26
2,Trent Alexander-Arnold,Liverpool,England,DEF,29,9,31
3,Andrew Robertson,Liverpool,Scotland,DEF,16,5,31
4,Joel Matip,Liverpool,Cameroon,DEF,8,2,25
5,Dejan Lovren,Liverpool,Croatia,DEF,6,1,17
6,Joseph Gomez,Liverpool,England,DEF,5,1,20
7,Nathaniel Clyne,Liverpool,England,DEF,3,1,33
8,Alberto Moreno,Liverpool,Spain,DEF,1,0,0
11,Aymeric Laporte,Manchester City,France,DEF,26,7,27
12,Kyle Walker,Manchester City,England,DEF,21,4,19
13,Nicolás Otamendi,Manchester City,Argentina,DEF,15,3,20
14,Danilo,Manchester City,Brazil,DEF,14,3,21
16,Benjamin Mendy,Manchester City,France,DEF,7,3,43
18,Vincent Kompany,Manchester City,Belgium,DEF,5,1,20
18,John Stones,Manchester City,England,DEF,5,1,20
20,Fabian Delph,Manchester City,England,DEF,4,3,75
