rank,player,club,nationality,position,touches
4,Kenedy,Newcastle United,Brazil,MID,864
5,Jonjo Shelvey,Newcastle United,England,MID,809
6,Ki Sung-yueng,Newcastle United,South Korea,MID,795
7,Christian Atsu,Newcastle United,Ghana,MID,713
8,Miguel Almirón,Newcastle United,Paraguay,MID,409
9,Sean Longstaff,Newcastle United,England,MID,398
10,Jacob Murphy,Newcastle United,England,MID,120
1,Pierre-Emile Højbjerg,Southampton,Denmark,MID,"2,364"
2,Nathan Redmond,Southampton,England,MID,"1,894"
3,Oriol Romeu,Southampton,Spain,MID,"1,472"
4,James Ward-Prowse,Southampton,England,MID,"1,180"
5,Mario Lemina,Southampton,Gabon,MID,"1,154"
6,Stuart Armstrong,Southampton,Scotland,MID,904
7,Mohamed Elyounoussi,Southampton,Norway,MID,410
8,Steven Davis,Southampton,Northern Ireland,MID,82
8,Josh Sims,Southampton,England,MID,82
10,Callum Slattery,Southampton,England,MID,60
1,Christian Eriksen,Tottenham Hotspur,Denmark,MID,"2,392"
2,Moussa Sissoko,Tottenham Hotspur,France,MID,"1,739"
3,Harry Winks,Tottenham Hotspur,England,MID,"1,594"
4,Dele Alli,Tottenham Hotspur,England,MID,"1,408"
5,Eric Dier,Tottenham Hotspur,England,MID,"1,285"
6,Lucas Moura,Tottenham Hotspur,Brazil,MID,"1,200"
7,Erik Lamela,Tottenham Hotspur,Argentina,MID,650
8,Victor Wanyama,Tottenham Hotspur,Kenya,MID,414
9,Mousa Dembélé,Tottenham Hotspur,Belgium,MID,376
10,Oliver Skipp,Tottenham Hotspur,England,MID,180
11,Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,6
12,Luke Amos,Tottenham Hotspur,England,MID,4
1,Abdoulaye Doucouré,Watford,France,MID,"2,436"
2,Etienne Capoue,Watford,France,MID,"2,298"
3,Roberto Pereyra,Watford,Argentina,MID,"1,703"
4,Will Hughes,Watford,England,MID,"1,535"
5,Ken Sema,Watford,Sweden,MID,419
6,Tom Cleverley,Watford,England,MID,297
7,Domingos Quina,Watford,Portugal,MID,294
8,Nathaniel Chalobah,Watford,England,MID,156
1,Felipe Anderson,West Ham United,Brazil,MID,"2,535"
2,Mark Noble,West Ham United,England,MID,"1,848"
3,Robert Snodgrass,West Ham United,Scotland,MID,"1,556"
4,Michail Antonio,West Ham United,England,MID,"1,335"
5,Pedro Obiang,West Ham United,Equatorial Guinea,MID,723
6,Manuel Lanzini,West Ham United,Argentina,MID,574
7,Grady Diangana,West Ham United,England,MID,433
8,Jack Wilshere,West Ham United,England,MID,282
9,Samir Nasri,West Ham United,France,MID,178
10,Carlos Sánchez,West Ham United,Colombia,MID,172
11,Ben Johnson,West Ham United,England,MID,33
